flo2d_250_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
5413,Gonawala,7.806052265218814,Kotikawatta,11.42868714565159,Kittampahuwa,12.799830071698043
5414,Gonawala,7.953315610178767,Kotikawatta,11.584311538041316,Kittampahuwa,12.900225842348378
5415,Gonawala,8.10569616447511,Kotikawatta,11.743251745930753,Kittampahuwa,13.004703281940131
5416,Gonawala,8.26291082434736,Kotikawatta,11.905374969764773,Kittampahuwa,13.113164832211726
5417,Gonawala,8.424688963462991,Kotikawatta,12.070552953220988,Kittampahuwa,13.22551247204808
5418,Gonawala,8.59077277443421,Kotikawatta,12.238662012692034,Kittampahuwa,13.341648029104872
5419,Gonawala,8.760917387470505,Kotikawatta,12.409583029306198,Kittampahuwa,13.461473467279182
5420,Gonawala,8.934890819705487,Kotikawatta,12.583201416772045,Kittampahuwa,13.584891146398212
5421,Gonawala,9.104745250347879,Kotikawatta,12.751595450087304,Kittampahuwa,13.702324289828736
5422,Gonawala,9.28588148642618,Kotikawatta,12.930390639361109,Kittampahuwa,13.832725664508454
5423,Gonawala,9.470222159794991,Kotikawatta,13.111564417278085,Kittampahuwa,13.966431592462662
5424,Gonawala,9.657583777316315,Kotikawatta,13.295019544020766,Kittampahuwa,14.103348089003683
5425,Gonawala,9.847793913641874,Kotikawatta,13.480662882196743,Kittampahuwa,14.243382568847096
5426,Gonawala,10.040690681701982,Kotikawatta,13.668405269991032,Kittampahuwa,14.38644398195275
5427,Gonawala,10.236992356857463,Kotikawatta,13.859005379441196,Kittampahuwa,14.533095345031402
5428,Makumbura,2.6744240274285342,Kottawa North Dharmapala School,4.7852471895526785,Arangala,4.934515169335556
5429,Makumbura,2.7674622064285574,Kottawa North Dharmapala School,4.719227376779372,Arangala,4.758248338662464
5430,Makumbura,2.8794885237982237,Arangala,4.588977930654486,Kottawa North Dharmapala School,4.665825465446466
5431,Makumbura,3.008382482912881,Arangala,4.427506470904723,Kottawa North Dharmapala School,4.62547850629258
5432,Makumbura,3.1527412914338355,Arangala,4.274062474738542,Kottawa North Dharmapala School,4.598441067934273
5433,Makumbura,3.3093587491741525,Arangala,4.130964999118341,Kottawa North Dharmapala School,4.5851882248073474
5434,Makumbura,3.47710180222839,Arangala,3.99855442640291,Kottawa North Dharmapala School,4.585689233505378
5435,Makumbura,3.646820009207841,Arangala,3.8680986070257237,Kottawa North Dharmapala School,4.588938973744678
5436,Arangala,3.760101154706774,Makumbura,3.8327908720629833,Kottawa North Dharmapala School,4.616878151456226
5437,Arangala,3.666174908283028,Makumbura,4.025863816563697,Kottawa North Dharmapala School,4.65822613677774
5438,Arangala,3.5874252756056437,Makumbura,4.225065322993464,Kottawa North Dharmapala School,4.712629997909336
5439,Arangala,3.5248695999434108,Makumbura,4.429568648713062,Kottawa North Dharmapala School,4.7796439347201165
5440,Arangala,3.479381434825528,Makumbura,4.638672627438212,Kottawa North Dharmapala School,4.858746205339114
5441,Arangala,3.4516356329708278,Makumbura,4.8517824538164005,Kottawa North Dharmapala School,4.949357246348046
5442,Arangala,3.4420612758454587,Kottawa North Dharmapala School,5.050857696791959,Makumbura,5.068392856487651
5443,Arangala,3.450809616819792,Kottawa North Dharmapala School,5.162605322543981,Makumbura,5.288073676531681
5444,Arangala,3.4777423877418596,Kottawa North Dharmapala School,5.283950023141156,Makumbura,5.51045771083697
5445,Arangala,3.5224424923351885,Kottawa North Dharmapala School,5.41424656589534,Makumbura,5.735230515498449
5446,Arangala,3.584245250953746,Kottawa North Dharmapala School,5.552864827120412,Makumbura,5.9621219260684395
5447,Arangala,3.662284919103773,Kottawa North Dharmapala School,5.699197628028763,Makumbura,6.190899011715199
5448,Arangala,3.7559943244167466,Kottawa North Dharmapala School,5.85336044279184,Makumbura,6.422383443283289
5449,Arangala,3.863441063598079,Kottawa North Dharmapala School,6.013446676877719,Makumbura,6.654360110120784
5450,Arangala,3.983862980137572,Kottawa North Dharmapala School,6.17960818340734,Makumbura,6.887692776169568
5451,Arangala,4.116121417832561,Kottawa North Dharmapala School,6.351368164555543,Makumbura,7.122248169689495
5452,Arangala,4.259113843876616,Kottawa North Dharmapala School,6.528284746539257,Makumbura,7.357909358883512
5453,Arangala,4.411796667640927,Kottawa North Dharmapala School,6.709950057819495,Makumbura,7.594573402030695
5454,Arangala,4.57319940981485,Kottawa North Dharmapala School,6.895988815327815,Makumbura,7.832149392603634
5455,Arangala,4.742431840558216,Kottawa North Dharmapala School,7.086056560517654,Makumbura,8.070556794231155
5456,Arangala,4.918685859278215,Kottawa North Dharmapala School,7.279837726405144,Gonawala,8.060890160873106
5457,Arangala,5.101233705032754,Kottawa North Dharmapala School,7.477043597521763,Gonawala,7.921531016737778
5458,Arangala,5.289423780663098,Kottawa North Dharmapala School,7.67741027311583,Gonawala,7.787789222179811
5459,Arangala,5.482675118733331,Gonawala,7.659959018186809,Kottawa North Dharmapala School,7.8806966645706495
5460,Arangala,5.680471186002164,Gonawala,7.538341145682069,Kottawa North Dharmapala School,8.086682585763555
5461,Arangala,5.882353545829833,Gonawala,7.423240947346176,Kottawa North Dharmapala School,8.295166933315654
5462,Arangala,6.08168157114031,Gonawala,7.304934142168953,Kottawa North Dharmapala School,8.500037108542424
5463,Arangala,6.2907701627128665,Gonawala,7.203651171436861,Kottawa North Dharmapala School,8.713127931124514
5464,Arangala,6.50284796566611,Gonawala,7.1098116321631,Kottawa North Dharmapala School,8.928206411419078
5465,Arangala,6.71763187383857,Gonawala,7.0237138732052244,Kottawa North Dharmapala School,9.145132312482676
5466,Arangala,6.935836800519768,Gonawala,6.945318621181407,Kotikawatta,9.29957053785467
5467,Gonawala,6.875591064684997,Arangala,7.155315864018962,Kotikawatta,9.31552012966344
5468,Gonawala,6.814422799946426,Arangala,7.376826012692605,Kotikawatta,9.33820765495194
5469,Gonawala,6.762046108345226,Arangala,7.600189657725508,Kotikawatta,9.367584157706174
5470,Gonawala,6.718666602946895,Arangala,7.825248082051588,Kotikawatta,9.403586950688515
5471,Gonawala,6.684459449873906,Arangala,8.051859174358587,Kotikawatta,9.446140267452302
5472,Gonawala,6.659565993820464,Arangala,8.27989545182468,Kotikawatta,9.495156037876185
5473,Gonawala,6.6440909219507684,Arangala,8.509242334822877,Kotikawatta,9.550534762164617
5474,Gonawala,6.638100106432743,Arangala,8.73979664789195,Kotikawatta,9.612166463607807
5475,Gonawala,6.641619209311583,Arangala,8.971465303483384,Kotikawatta,9.679931707138632
5476,Gonawala,6.65463314486001,Arangala,9.204164156912686,Kotikawatta,9.75370264994562
5477,Gonawala,6.677086395787464,Arangala,9.43781700810517,Kotikawatta,9.833344129363038
5478,Gonawala,6.708884188476068,Arangala,9.672354719746071,Kotikawatta,9.918714732866631
5479,Gonawala,6.749894462513235,Arangala,9.907714453431716,Kotikawatta,10.009667876447109
5480,Gonawala,6.799950537517063,Kotikawatta,10.106052832317726,Arangala,10.143838989654517
5481,Gonawala,6.858854367697818,Kotikawatta,10.207715734799573,Arangala,10.38067613948435
5482,Gonawala,6.926697810555237,Kotikawatta,10.314984169997926,Arangala,10.619230524254338
5483,Gonawala,7.002632726956815,Kotikawatta,10.426755086683988,Arangala,10.85735655129376
5484,Gonawala,7.086669988145316,Kotikawatta,10.54333195291523,Arangala,11.096063694949112
5485,Gonawala,7.178525043300441,Kotikawatta,10.66455716502705,Arangala,11.335315244129083
5486,Gonawala,7.277901892575011,Kotikawatta,10.790274056389393,Arangala,11.575077439847774
5487,Gonawala,7.384496866953265,Kotikawatta,10.92032750068091,Arangala,11.815319195263605
5488,Gonawala,7.498002126369961,Kotikawatta,11.054564444650728,Arangala,12.056011843144542
5489,Gonawala,7.618108797565305,Kotikawatta,11.192834369944213,Arangala,12.29712890672472
5490,Gonawala,7.744509751583574,Kotikawatta,11.334989687912982,Arangala,12.538645900165085
5491,Gonawala,7.867603370008025,Kotikawatta,11.471959306263257,Arangala,12.777581699499645
5492,Gonawala,8.005850415425932,Kotikawatta,11.621570847752881,Arangala,13.019887247186643
